top - 00:41:16 up 1 day,  5:51,  1 user,  load average: 0.87, 1.93, 1.37
任务: 437 total,   2 running, 435 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.2 us,  9.5 sy,  0.0 ni, 53.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 128605.6 total,   1094.2 free,   7560.4 used, 119951.0 buff/cache
MiB Swap: 124999.0 total, 124420.2 free,    578.8 used. 108706.2 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
  52876 wangjia   20   0 9019192   5.6g   2.3g R 680.0   4.4   0:03.71 AVS_api
   2113 wangjia   20   0 7041140 365668 126320 S  46.7   0.3  34:05.43 gnome-s+
   1904 root      20   0  497932 237740 112048 S  20.0   0.2  10:38.77 Xorg
  44549 wangjia   20   0 1591992 126636  65652 S  13.3   0.1   0:39.54 nautilus
   1540 gdm       20   0 6704272 108456  38284 S   6.7   0.1   0:59.76 gnome-s+
   2171 wangjia   20   0  403656  15012   5496 S   6.7   0.0   0:16.45 ibus-da+
   3303 wangjia   20   0 2673164  22960  19044 S   6.7   0.0   0:11.02 wpsclou+
   3848 wangjia   20   0 1162696  71528  33084 S   6.7   0.1   2:11.36 gnome-t+
  18510 wangjia   20   0 1185252 186056 122528 S   6.7   0.1  22:30.61 et
  44042 wangjia   20   0   50.5g 382616 135472 S   6.7   0.3   2:37.00 code
  44323 wangjia   20   0 2481552 404088  13856 S   6.7   0.3   0:29.21 cpptools
  52886 wangjia   20   0   20804   4224   3240 R   6.7   0.0   0:00.01 top
      1 root      20   0  168540   8092   4712 S   0.0   0.0   0:01.88 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.24 ksoftir+
     13 root      20   0       0      0      0 I   0.0   0.0   0:06.12 rcu_sch+
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.39 migrati+
     15 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.87 migrati+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.27 ksoftir+
     23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.55 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.51 ksoftir+
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
